0 193 11;
0 195 46;
0 179 0 0;
0 180 7 64;
0 179 7 127;
0 181 7 100;
0 148 72 79;
0 177 7 100;
0 177 0 0;
0 196 104;
0 180 0 0;
365.853 132 72 0;
365.853 148 71 79;
548.779 148 72 79;
548.779 132 71 0;
731.706 132 72 0;
731.706 148 69 79;
1097.56 132 69 0;
1097.56 148 72 79;
1463.41 132 72 0;
1463.41 148 71 79;
1646.34 132 71 0;
1646.34 148 72 79;
1829.27 132 72 0;
1829.27 148 69 79;
2195.12 132 69 0;
2195.12 148 72 79;
2560.97 132 72 0;
2560.97 148 71 79;
2743.9 148 72 79;
2743.9 132 71 0;
2926.82 148 69 79;
2926.82 132 72 0;
3292.68 148 72 79;
3292.68 132 69 0;
3658.53 132 72 0;
3658.53 148 71 79;
3841.46 148 72 79;
3841.46 132 71 0;
4024.38 148 69 79;
4024.38 132 72 0;
4390.24 132 69 0;
4390.24 148 72 79;
4390.24 145 64 95;
4756.09 148 71 79;
4756.09 132 72 0;
4939.02 148 72 79;
4939.02 132 71 0;
5121.94 148 69 79;
5121.94 132 72 0;
5487.79 145 62 95;
5487.79 129 64 0;
5487.79 132 69 0;
5487.79 148 72 79;
5853.65 132 72 0;
5853.65 148 71 79;
6036.57 148 72 79;
6036.57 132 71 0;
6219.5 148 69 79;
6219.5 132 72 0;
6585.35 129 62 0;
6585.35 148 72 79;
6585.35 132 69 0;
6585.35 145 60 95;
6951.21 132 72 0;
6951.21 148 71 79;
7134.13 148 72 79;
7134.13 132 71 0;
7317.06 148 69 79;
7317.06 132 72 0;
7682.91 132 69 0;
7682.91 148 72 79;
7682.91 129 60 0;
7682.91 145 59 95;
8048.76 132 72 0;
8048.76 148 71 79;
8231.69 132 71 0;
8231.69 148 72 79;
8414.62 132 72 0;
8414.62 148 69 79;
8780.47 148 72 79;
8780.47 129 59 0;
8780.47 147 72 127;
8780.47 145 64 95;
8780.47 132 69 0;
9146.32 147 71 111;
9146.32 148 71 79;
9146.32 132 72 0;
9146.32 131 72 0;
9329.25 131 71 0;
9329.25 132 71 0;
9329.25 148 72 79;
9329.25 147 72 111;
9512.18 132 72 0;
9512.18 147 69 111;
9512.18 148 69 79;
9512.18 131 72 0;
9878.03 131 69 0;
9878.03 147 72 127;
9878.03 129 64 0;
9878.03 148 72 79;
9878.03 132 69 0;
